epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.22738,1.77388,4.44271,4.41851,1.48772,0.00972,0.04167,0.00473,0.00149,0,0,0,0,2.06984,4.05035,4.39618,1.8194,0,0,0
2,2.03189,2.08197,4.57666,4.5429,1.66921,0.00338,0.04167,0.00427,0.00135,0,0,0,0,2.06666,4.0516,4.4042,1.82042,1.40071e-05,1.40071e-05,1.40071e-05
3,2.76176,2.15471,4.92722,4.95449,1.79707,0.00331,0.04167,0.00389,0.0012,0,0,0,0,2.05678,4.05381,4.41394,1.81381,2.74482e-05,2.74482e-05,2.74482e-05
4,3.61515,1.88207,4.52124,4.42824,1.49669,0.00266,0.04167,0.00389,0.00124,0,0,0,0,2.04152,4.04241,4.43154,1.80351,4.03235e-05,4.03235e-05,4.03235e-05
5,4.3213,2.06894,4.59409,4.62748,1.64895,0.00072,0.04167,0.00358,0.00114,0,0,0,0,2.03837,4.05393,4.43897,1.79626,5.26329e-05,5.26329e-05,5.26329e-05
6,5.073,1.86116,4.16579,4.27687,1.38894,0.07014,0.16766,0.05066,0.03192,0.11821,0.04695,0.04791,0.02739,1.73228,3.41389,3.20745,1.58301,6.43764e-05,6.43764e-05,6.43764e-05
7,6.0429,2.01143,3.97701,4.24589,1.63547,0.21872,0.14261,0.11999,0.07081,0.55216,0.09859,0.11049,0.06076,1.57195,3.08807,1.94835,1.44089,7.55541e-05,7.55541e-05,7.55541e-05
8,7.02756,1.79901,3.0748,2.3159,1.4084,0.24816,0.1839,0.20024,0.10976,0.96253,0.11502,0.14197,0.0834,1.3903,2.78318,1.88981,1.33584,8.61658e-05,8.61658e-05,8.61658e-05
9,8.02589,1.40511,2.69771,1.73979,1.30142,0.31113,0.42199,0.29273,0.18006,0.90411,0.14533,0.16304,0.09994,1.38516,2.44185,2.24772,1.27521,9.62117e-05,9.62117e-05,9.62117e-05
10,8.98413,1.41283,2.7272,2.10006,1.18701,0.33488,0.4038,0.37901,0.2242,0.55198,0.17902,0.18582,0.11114,1.37201,2.22389,1.7715,1.22906,0.000105692,0.000105692,0.000105692
11,9.96695,1.32245,2.23839,1.1597,1.14767,0.60964,0.44507,0.48919,0.28025,0.24667,0.20045,0.20344,0.11753,1.3337,2.17393,1.30963,1.18758,0.000114606,0.000114606,0.000114606
12,10.9535,1.22811,2.09509,1.10292,1.06838,0.50458,0.40118,0.41181,0.22511,0.28459,0.1919,0.21955,0.1219,1.33582,2.10292,1.08515,1.14919,0.000122954,0.000122954,0.000122954
13,11.8836,1.35635,2.09818,1.26423,1.14063,0.56745,0.52217,0.50383,0.25402,0.25518,0.20657,0.2229,0.12355,1.39453,2.07123,1.06118,1.16694,0.000130736,0.000130736,0.000130736
14,12.8144,1.29296,1.91824,1.16592,1.15842,0.74238,0.44763,0.5477,0.30622,0.26654,0.21547,0.22762,0.12697,1.32763,2.05545,1.06749,1.12652,0.000137953,0.000137953,0.000137953
15,13.7916,1.25248,1.94635,1.07929,1.16804,0.76109,0.57917,0.63456,0.33755,0.28299,0.22066,0.23216,0.13545,1.25638,2.08684,0.99488,1.08033,0.000144603,0.000144603,0.000144603
16,15.0955,1.36078,1.99853,0.9833,1.0603,0.80754,0.5341,0.62193,0.36855,0.26644,0.22066,0.23406,0.14087,1.20213,2.00881,0.95888,1.05397,0.000150688,0.000150688,0.000150688
17,16.065,1.28245,2.00851,1.01309,1.02522,0.69651,0.64749,0.69117,0.41306,0.27628,0.22535,0.24415,0.14076,1.15509,1.8796,0.96123,1.03722,0.000156207,0.000156207,0.000156207
18,17.0318,1.27244,1.88173,0.9445,1.0109,0.69651,0.64749,0.69117,0.41306,0.27628,0.22535,0.24415,0.14076,1.15509,1.8796,0.96123,1.03722,0.00016116,0.00016116,0.00016116
19,18.1554,1.21025,1.6929,0.95318,1.02503,0.85841,0.61376,0.70243,0.41946,0.27037,0.23474,0.24518,0.14536,1.12229,1.7879,0.82713,1.02453,0.000165547,0.000165547,0.000165547
20,19.1204,1.09876,1.67872,0.75522,0.98489,0.85841,0.61376,0.70243,0.41946,0.27037,0.23474,0.24518,0.14536,1.12229,1.7879,0.82713,1.02453,0.000169368,0.000169368,0.000169368
21,20.1308,1.10598,1.63749,0.77198,0.9961,0.78931,0.75222,0.74914,0.45086,0.27297,0.23944,0.2518,0.15307,1.07783,1.78279,0.91022,0.99991,0.000172623,0.000172623,0.000172623
22,21.0773,1.23076,1.78485,0.86513,1.00669,0.78931,0.75222,0.74914,0.45086,0.27297,0.23944,0.2518,0.15307,1.07783,1.78279,0.91022,0.99991,0.000175313,0.000175313,0.000175313
23,22.062,1.13402,1.73767,0.83287,0.95828,0.86385,0.69782,0.76662,0.46221,0.28124,0.24079,0.25273,0.15568,1.09655,1.81426,0.84155,1.00276,0.000177436,0.000177436,0.000177436
24,23.047,1.04557,1.50857,0.75355,1.0184,0.86385,0.69782,0.76662,0.46221,0.28124,0.24079,0.25273,0.15568,1.09655,1.81426,0.84155,1.00276,0.000178994,0.000178994,0.000178994
25,24.0335,1.13059,1.62542,0.77681,0.98608,0.92873,0.68631,0.77159,0.48942,0.27921,0.24413,0.24886,0.15671,1.11161,1.81288,0.75438,1.00964,0.000179985,0.000179985,0.000179985
26,25.1241,1.29724,1.86001,0.84971,0.97971,0.92873,0.68631,0.77159,0.48942,0.27921,0.24413,0.24886,0.15671,1.11161,1.81288,0.75438,1.00964,0.000180411,0.000180411,0.000180411
27,26.0899,1.16723,1.80802,0.81767,0.98086,0.81687,0.71192,0.76516,0.50469,0.28396,0.24304,0.25023,0.15755,1.10664,1.73314,0.74521,1.00919,0.000180271,0.000180271,0.000180271
28,27.0688,1.02826,1.48659,0.87465,0.95724,0.81687,0.71192,0.76516,0.50469,0.28396,0.24304,0.25023,0.15755,1.10664,1.73314,0.74521,1.00919,0.000179565,0.000179565,0.000179565
29,28.1511,1.06899,1.53544,0.92946,0.96793,0.78387,0.75226,0.76583,0.48789,0.35841,0.25804,0.27744,0.16094,1.09948,1.66869,0.74724,1.00921,0.000178293,0.000178293,0.000178293
30,29.7392,1.12379,1.6118,0.79058,0.96924,0.78387,0.75226,0.76583,0.48789,0.35841,0.25804,0.27744,0.16094,1.09948,1.66869,0.74724,1.00921,0.000176456,0.000176456,0.000176456
31,30.6578,1.12044,1.61279,0.82023,0.98192,0.7981,0.72959,0.7663,0.51814,0.28207,0.24648,0.2572,0.15569,1.07379,1.62682,0.74615,1.00029,0.000174052,0.000174052,0.000174052
32,31.5741,1.28195,1.77491,0.92168,1.03838,0.7981,0.72959,0.7663,0.51814,0.28207,0.24648,0.2572,0.15569,1.07379,1.62682,0.74615,1.00029,0.000171083,0.000171083,0.000171083
33,32.5321,1.10415,1.67631,0.86707,0.95395,0.75975,0.7646,0.77883,0.51003,0.3354,0.27652,0.28861,0.15742,1.04393,1.58321,0.73599,0.98601,0.000167547,0.000167547,0.000167547
34,33.4245,1.19346,1.76469,0.92852,1.01159,0.75975,0.7646,0.77883,0.51003,0.3354,0.27652,0.28861,0.15742,1.04393,1.58321,0.73599,0.98601,0.000163446,0.000163446,0.000163446
35,34.3278,1.06777,1.5771,0.76807,0.97624,0.86786,0.71077,0.79637,0.52973,0.32729,0.28386,0.28778,0.15937,1.02162,1.51146,0.69766,0.97949,0.000158779,0.000158779,0.000158779
36,35.3021,0.93018,1.35546,0.68557,0.95284,0.86786,0.71077,0.79637,0.52973,0.32729,0.28386,0.28778,0.15937,1.02162,1.51146,0.69766,0.97949,0.000153546,0.000153546,0.000153546
37,36.312,0.98254,1.53035,0.6646,0.94078,0.87672,0.71602,0.80797,0.56242,0.32853,0.28299,0.29628,0.1684,0.98575,1.46546,0.6789,0.96918,0.000147747,0.000147747,0.000147747
38,37.277,1.00429,1.39082,0.69325,0.95261,0.87672,0.71602,0.80797,0.56242,0.32853,0.28299,0.29628,0.1684,0.98575,1.46546,0.6789,0.96918,0.000141382,0.000141382,0.000141382
39,38.2832,1.03064,1.57135,0.69828,0.96018,0.8589,0.71872,0.80559,0.58177,0.35963,0.25804,0.29635,0.17726,0.97136,1.45542,0.67901,0.96051,0.000134452,0.000134452,0.000134452
40,39.2636,1.00047,1.50486,0.69516,0.95337,0.8589,0.71872,0.80559,0.58177,0.35963,0.25804,0.29635,0.17726,0.97136,1.45542,0.67901,0.96051,0.000126955,0.000126955,0.000126955
41,63.6221,0.98517,1.48031,0.7008,0.98465,0.90459,0.73216,0.80085,0.58144,0.37705,0.27447,0.31109,0.18449,0.96568,1.44872,0.68185,0.95585,0.000118893,0.000118893,0.000118893
42,65.4085,0.9466,1.43048,0.66747,0.93358,0.90459,0.73216,0.80085,0.58144,0.37705,0.27447,0.31109,0.18449,0.96568,1.44872,0.68185,0.95585,0.000110264,0.000110264,0.000110264
43,67.3084,1.02608,1.39461,0.66929,0.98683,0.93044,0.68383,0.82045,0.57616,0.37047,0.27212,0.30711,0.18531,0.96762,1.43015,0.67136,0.95316,0.00010107,0.00010107,0.00010107
44,68.6354,0.96127,1.28542,0.63736,0.93198,0.93044,0.68383,0.82045,0.57616,0.37047,0.27212,0.30711,0.18531,0.96762,1.43015,0.67136,0.95316,9.13102e-05,9.13102e-05,9.13102e-05
45,70.0878,0.96379,1.4469,0.61985,0.96898,0.83197,0.7694,0.83425,0.57397,0.37217,0.2734,0.30794,0.18672,0.95888,1.40811,0.64097,0.94801,8.09843e-05,8.09843e-05,8.09843e-05
46,71.9199,1.00568,1.36821,0.65782,0.96797,0.83197,0.7694,0.83425,0.57397,0.37217,0.2734,0.30794,0.18672,0.95888,1.40811,0.64097,0.94801,7.00924e-05,7.00924e-05,7.00924e-05
47,73.9627,0.94415,1.36074,0.6324,0.92745,0.87315,0.74403,0.82811,0.58273,0.3627,0.27447,0.31191,0.18559,0.94788,1.38589,0.61996,0.94253,5.86347e-05,5.86347e-05,5.86347e-05
48,76.7657,0.92986,1.34501,0.65235,0.92151,0.87315,0.74403,0.82811,0.58273,0.3627,0.27447,0.31191,0.18559,0.94788,1.38589,0.61996,0.94253,4.66111e-05,4.66111e-05,4.66111e-05
49,78.1898,1.00038,1.38438,0.64364,0.94105,0.87687,0.74844,0.8304,0.5822,0.36179,0.27212,0.30993,0.18524,0.93082,1.37249,0.60785,0.93798,3.40216e-05,3.40216e-05,3.40216e-05
50,79.074,0.97345,1.45894,0.62586,0.97,0.87687,0.74844,0.8304,0.5822,0.36179,0.27212,0.30993,0.18524,0.93082,1.37249,0.60785,0.93798,2.08663e-05,2.08663e-05,2.08663e-05
