epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.10474,1.93393,4.28122,6.52034,1.46219,0.25364,0.01353,0.0049,0.00303,0.29421,0.00595,0.00447,0.00313,2.12859,3.58117,5.5749,1.7482,0,0,0
2,3.48611,2.16514,4.18324,6.28827,1.72454,0.3374,0.00595,0.00473,0.00305,0.33784,0.00595,0.00431,0.00317,2.1302,3.59385,5.58462,1.74759,3.49931e-06,3.49931e-06,3.49931e-06
3,4.93123,1.9035,3.90125,6.0103,1.60058,0.33836,0.00595,0.00461,0.00296,0.38723,0.00595,0.00419,0.00307,2.12765,3.58929,5.58731,1.74424,6.85726e-06,6.85726e-06,6.85726e-06
4,6.23076,2.02085,4.50146,6.75241,1.53808,0.04508,0.02543,0.0061,0.00418,0.0443,0.01786,0.00574,0.00447,2.12846,3.5858,5.58843,1.74613,1.00738e-05,1.00738e-05,1.00738e-05
5,7.58914,2.11274,4.00197,5.98354,1.66039,0.00482,0.03139,0.00598,0.00408,0.00456,0.02381,0.00561,0.00436,2.12948,3.58748,5.5974,1.74165,1.3149e-05,1.3149e-05,1.3149e-05
6,8.87497,2.12979,4.52178,6.98798,1.61026,0.00403,0.03139,0.00589,0.00405,0.00383,0.02381,0.00553,0.00414,2.13014,3.57689,5.6114,1.73545,1.60828e-05,1.60828e-05,1.60828e-05
7,10.2415,1.95615,3.8596,6.20347,1.51524,0.00858,0.03734,0.00748,0.00579,0.00835,0.02976,0.00669,0.00594,1.87616,3.33705,5.63038,1.59368,1.88753e-05,1.88753e-05,1.88753e-05
8,11.8745,1.73828,3.23362,6.13036,1.35567,0.42457,0.01353,0.00572,0.00354,0.42164,0.00595,0.00298,0.00241,1.72105,3.12224,5.58249,1.47849,2.15264e-05,2.15264e-05,2.15264e-05
9,13.5264,1.6556,3.07653,5.38068,1.31829,0.0189,0.05682,0.0166,0.01264,0.01785,0.04167,0.01475,0.0121,1.59005,2.83515,5.38651,1.40317,2.40361e-05,2.40361e-05,2.40361e-05
10,15.2377,1.56856,2.99614,4.98988,1.3113,0.01354,0.05817,0.01307,0.00999,0.01305,0.05817,0.01301,0.00938,1.50373,2.62858,5.36585,1.32209,2.64044e-05,2.64044e-05,2.64044e-05
11,16.8958,1.46909,2.58286,4.63752,1.13474,0.02286,0.0717,0.0286,0.02142,0.02218,0.0717,0.02833,0.02384,1.41488,2.4221,5.3863,1.2632,2.86314e-05,2.86314e-05,2.86314e-05
12,18.5942,1.48856,2.33823,4.57793,1.20641,0.15717,0.05817,0.02658,0.02042,0.15839,0.06575,0.02615,0.02037,1.34898,2.2573,5.39623,1.22559,3.0717e-05,3.0717e-05,3.0717e-05
13,20.4034,1.32457,2.25076,4.28836,1.13536,0.04353,0.10335,0.04379,0.03093,0.32009,0.06412,0.023,0.01812,1.32114,2.10939,5.26567,1.20702,3.26612e-05,3.26612e-05,3.26612e-05
14,22.2258,1.29814,2.0528,4.10988,1.19142,0.33074,0.09917,0.06627,0.04723,0.28204,0.06362,0.03507,0.02673,1.28549,2.01664,5.09758,1.18274,3.44641e-05,3.44641e-05,3.44641e-05
15,24.0723,1.22806,2.05584,3.84345,1.11531,0.45333,0.10471,0.06692,0.04583,0.42378,0.06494,0.03435,0.02617,1.24857,1.91575,4.8793,1.15828,3.61255e-05,3.61255e-05,3.61255e-05
16,25.8468,1.33448,1.97045,3.68708,1.18899,0.49546,0.10143,0.09357,0.06634,0.47647,0.06761,0.06026,0.04121,1.26309,1.86203,4.63008,1.15504,3.76457e-05,3.76457e-05,3.76457e-05
17,27.627,1.29542,1.83684,3.42116,1.14226,0.35916,0.11308,0.11667,0.07989,0.33754,0.07331,0.07679,0.05352,1.28519,1.80327,4.51961,1.1477,3.90244e-05,3.90244e-05,3.90244e-05
18,29.3898,1.21868,1.77,3.11641,0.99135,0.35916,0.11308,0.11667,0.07989,0.33754,0.07331,0.07679,0.05352,1.28519,1.80327,4.51961,1.1477,4.02617e-05,4.02617e-05,4.02617e-05
19,31.1592,1.40962,1.92307,3.39506,1.0571,0.21266,0.19866,0.13849,0.09778,0.1976,0.15311,0.09678,0.06802,1.26274,1.72301,4.27544,1.12216,4.13577e-05,4.13577e-05,4.13577e-05
