epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,21884.7,0.64491,1.12507,0.51296,0.91134,0.73548,0.70828,0.7389,0.53816,0.74932,0.67683,0.71171,0.45927,0.57619,1.01178,0.43161,0.86999,0.000891125,0.000891125,0.000891125
31,22498.2,0.63716,1.1133,0.50642,0.90729,0.76494,0.70496,0.74279,0.53143,0.74067,0.68424,0.7079,0.45448,0.57135,1.0018,0.42872,0.87074,0.00087875,0.00087875,0.00087875
32,22973.3,0.64168,1.10594,0.49708,0.90711,0.76836,0.71517,0.74891,0.54026,0.75387,0.69836,0.72646,0.46518,0.5717,0.99492,0.42333,0.869,0.000866375,0.000866375,0.000866375
33,23429.5,0.63571,1.09401,0.49773,0.9034,0.72934,0.70467,0.74239,0.53963,0.70631,0.6836,0.70475,0.44683,0.56834,0.99414,0.44911,0.86621,0.000854,0.000854,0.000854
34,24141.4,0.63403,1.10358,0.48338,0.90342,0.75626,0.72693,0.75403,0.55503,0.7356,0.70672,0.72726,0.47136,0.56271,0.98089,0.41435,0.86633,0.000841625,0.000841625,0.000841625
35,24606.8,0.62783,1.08994,0.48134,0.90259,0.76529,0.74199,0.76272,0.5657,0.7564,0.72339,0.73342,0.47514,0.56155,0.97823,0.39566,0.86334,0.00082925,0.00082925,0.00082925
36,25437.7,0.62473,1.07507,0.47514,0.90014,0.76228,0.7433,0.77204,0.56714,0.74823,0.71168,0.74108,0.47672,0.55865,0.9703,0.40397,0.86516,0.000816875,0.000816875,0.000816875
37,26057.2,0.62753,1.08091,0.48144,0.90001,0.76889,0.7473,0.78363,0.57585,0.75728,0.72592,0.7555,0.48487,0.56189,0.96956,0.39604,0.86456,0.0008045,0.0008045,0.0008045
38,26491.4,0.62402,1.06444,0.46328,0.89938,0.79463,0.74562,0.78325,0.58225,0.77146,0.72474,0.74813,0.4881,0.55049,0.96194,0.38647,0.86034,0.000792125,0.000792125,0.000792125
39,26905.2,0.62289,1.06404,0.46509,0.89627,0.79884,0.73496,0.7929,0.59258,0.78457,0.71639,0.76268,0.49798,0.54901,0.94783,0.3863,0.85874,0.00077975,0.00077975,0.00077975
40,27313.7,0.61597,1.05658,0.45724,0.89402,0.82692,0.7479,0.80369,0.60014,0.81443,0.71799,0.7759,0.50467,0.54624,0.94347,0.37109,0.85673,0.000767375,0.000767375,0.000767375
41,27892.2,0.61703,1.04834,0.45467,0.8939,0.80387,0.75043,0.79584,0.59575,0.80433,0.72856,0.77019,0.50646,0.54216,0.93223,0.36921,0.85544,0.000755,0.000755,0.000755
42,28333.8,0.61229,1.04342,0.44642,0.89416,0.81845,0.76145,0.80632,0.60287,0.80203,0.739,0.77797,0.50569,0.54224,0.9352,0.373,0.85625,0.000742625,0.000742625,0.000742625
43,28769.6,0.61497,1.04806,0.44188,0.89371,0.82642,0.77333,0.81678,0.61718,0.81898,0.74203,0.78824,0.51912,0.53715,0.92336,0.36556,0.85207,0.00073025,0.00073025,0.00073025
